caldt,vwretd,vwretx,ewretd,ewretx,totval,spindx,sprtrn
19270423,-0.003021,-0.003021,-0.002882,-0.002882,18414823.60,,
19270425,-0.015292,-0.015292,-0.014519,-0.014519,18145166.60,,
19270426,0.005388,0.005388,0.006820,0.006820,18242938.20,,
19270427,-0.002215,-0.002215,-0.002331,-0.002331,18202535.40,,
19270428,-0.011291,-0.011559,-0.009844,-0.009949,17992129.00,,
19270429,0.006170,0.005951,0.005196,0.004934,18099208.00,,
19270430,-0.000880,-0.000880,-0.001662,-0.001662,18088304.20,,
19270502,0.002605,0.002122,0.002635,0.002467,18126691.50,,
19270503,0.007939,0.007939,0.006013,0.006013,18270606.10,,
19270504,0.007380,0.007380,0.007626,0.007626,18405438.50,,
19270505,0.002867,0.002818,0.003364,0.003090,18457309.60,,
19270506,0.003161,0.002724,0.004377,0.004049,18507586.00,,
19270507,0.003837,0.003837,0.003914,0.003914,18578604.10,,
19270509,0.001416,0.001416,0.002536,0.002536,18604915.20,,
19270510,0.000371,-0.000043,-0.000906,-0.001230,18604122.90,,
19270511,-0.003427,-0.003507,-0.002829,-0.002969,18554135.00,,
19270512,-0.000937,-0.000937,-0.001643,-0.001643,18605760.60,,
19270513,0.005798,0.005770,0.006753,0.006649,18713102.40,,
